time,load,tmp1,wind1,swrad1
2023-03-04 04:00:00+00:00,9.0,3.6685,22.963936,596.0
2023-03-04 05:00:00+00:00,28.0,4.8684998,24.74329,600.0
2023-03-04 06:00:00+00:00,13.0,5.3684998,26.220753,548.0
2023-03-04 07:00:00+00:00,27.081,5.1184998,25.509243,446.0
2023-03-04 08:00:00+00:00,15.506,4.5185,23.400002,306.0
2023-03-04 09:00:00+00:00,18.915,3.0685,19.008547,142.0
2023-03-04 10:00:00+00:00,26.227,0.6685,14.4,15.0
2023-03-04 11:00:00+00:00,27.463,-0.3815,12.475961,0.0
2023-03-04 12:00:00+00:00,26.751,-1.1815,11.720751,0.0
2023-03-04 13:00:00+00:00,16.216,-1.9315,10.739832,0.0
2023-03-04 14:00:00+00:00,28.769,-2.3815,10.233123,0.0
2023-03-04 15:00:00+00:00,26.13,-2.6815,10.233123,0.0
2023-03-04 16:00:00+00:00,15.598,-2.5815,11.212135,0.0
2023-03-04 17:00:00+00:00,28.341,-1.7314999,13.237038,0.0
2023-03-04 18:00:00+00:00,18.0,-0.8315,14.76439,0.0
2023-03-04 19:00:00+00:00,7.0,-0.8315,14.565548,0.0
2023-03-04 20:00:00+00:00,10.0,-0.9315,14.480773,0.0
2023-03-04 21:00:00+00:00,8.0,-1.1815,13.849477,0.0
2023-03-04 22:00:00+00:00,10.3,-1.4814999,14.182355,0.0
2023-03-04 23:00:00+00:00,7.3,-1.7314999,14.458382,8.0
2023-03-05 00:00:00+00:00,17.0,-0.3315,17.418196,110.0
2023-03-05 01:00:00+00:00,8.0,0.9185,24.216522,286.0
2023-03-05 02:00:00+00:00,7.0,1.7684999,25.364037,430.0
2023-03-05 03:00:00+00:00,9.0,2.6685,23.770906,533.0
2023-03-05 04:00:00+00:00,8.0,3.5184999,22.505037,605.0
2023-03-05 05:00:00+00:00,19.0,4.3185,21.407139,605.0
2023-03-05 06:00:00+00:00,20.0,4.8185,21.30093,554.0
2023-03-05 07:00:00+00:00,21.026,4.8185,21.566973,455.0
2023-03-05 08:00:00+00:00,31.339,3.7185001,22.366402,313.0
2023-03-05 09:00:00+00:00,16.76,1.6185,20.497883,149.0
2023-03-05 10:00:00+00:00,15.127,-0.8815,15.315873,18.0
2023-03-05 11:00:00+00:00,17.921,-2.1315,12.57426,0.0
2023-03-05 12:00:00+00:00,31.744,-2.2815,12.620554,0.0
2023-03-05 13:00:00+00:00,35.055,-2.9315,13.849476,0.0
2023-03-05 14:00:00+00:00,15.366,-3.3315,13.450708,0.0
2023-03-05 15:00:00+00:00,26.853,-3.9315,10.739833,0.0
2023-03-05 16:00:00+00:00,16.042,-4.6815,9.746631,0.0
2023-03-05 17:00:00+00:00,32.417,-5.4315,9.007196,0.0
2023-03-05 18:00:00+00:00,25.0,-5.9315,7.69592,0.0
2023-03-05 19:00:00+00:00,38.0,-6.1315002,8.287822,0.0
2023-03-05 20:00:00+00:00,10.1,-5.7815,8.287822,0.0
2023-03-05 21:00:00+00:00,9.0,-5.4315,8.707238,0.0
2023-03-05 22:00:00+00:00,9.0,-5.6815,9.0645685,0.0
2023-03-05 23:00:00+00:00,11.0,-6.3815002,13.75558,6.0
2023-03-06 00:00:00+00:00,9.0,-6.1815,10.538843,71.0
2023-03-06 01:00:00+00:00,8.0,-4.9815,17.283749,174.0
2023-03-06 02:00:00+00:00,10.0,-3.9315,18.844202,374.0
2023-03-06 03:00:00+00:00,9.0,-2.7815,19.770523,518.0
2023-03-06 04:00:00+00:00,8.0,-2.0315,21.749481,599.0
2023-03-06 05:00:00+00:00,23.0,-1.9315,22.963936,596.0
2023-03-06 06:00:00+00:00,13.9,-2.0815,23.664352,567.0
2023-03-06 07:00:00+00:00,15.1,-2.6815,23.749088,473.0
2023-03-06 08:00:00+00:00,33.757,-3.8315,23.051247,329.0
2023-03-06 09:00:00+00:00,36.528,-5.1815,20.345573,159.0
2023-03-06 10:00:00+00:00,30.76,-6.8815002,15.39184,20.0
2023-03-06 11:00:00+00:00,29.1,-7.7815,12.682018,0.0
2023-03-06 12:00:00+00:00,25.605,-8.7815,10.08,0.0
2023-03-06 13:00:00+00:00,26.101,-9.0815,8.647496,0.0
2023-03-06 14:00:00+00:00,38.022,-9.7315,6.924738,0.0
2023-03-06 15:00:00+00:00,26.902,-10.4315,5.3517847,0.0
2023-03-06 16:00:00+00:00,23.305,-10.8315,3.8939953,0.0
2023-03-06 17:00:00+00:00,24.630000000000003,-11.4315,3.7064266,0.0
2023-03-06 18:00:00+00:00,32.2,-12.2815,3.2599385,0.0
2023-03-06 19:00:00+00:00,33.2,-12.2815,2.9024127,0.0
2023-03-06 20:00:00+00:00,12.200000000000005,-11.8815,2.5455842,0.0
2023-03-06 21:00:00+00:00,10.200000000000005,-11.1815,2.1897945,0.0
2023-03-06 22:00:00+00:00,11.200000000000005,-10.9315,3.4152596,0.0
2023-03-06 23:00:00+00:00,10.0,-10.7315,2.9024127,6.0
2023-03-07 00:00:00+00:00,11.599999999999998,-9.6815,6.162207,59.0
2023-03-07 01:00:00+00:00,18.4,-7.7815,7.5942073,165.0
2023-03-07 02:00:00+00:00,8.599999999999998,-6.4815,10.853866,276.0
2023-03-07 03:00:00+00:00,7.199999999999996,-5.8315,11.570515,304.0
2023-03-07 04:00:00+00:00,9.799999999999995,-6.2815,9.107359,314.0
2023-03-07 05:00:00+00:00,8.0,-6.1315002,6.9899354,250.0
2023-03-07 06:00:00+00:00,21.0,-5.7815,6.4096174,209.0
2023-03-07 07:00:00+00:00,19.371,-5.8315,8.913181,167.0
2023-03-07 08:00:00+00:00,25.311,-6.0315,9.220499,120.0
2023-03-07 09:00:00+00:00,26.732,-6.4315,8.4963045,68.0
2023-03-07 10:00:00+00:00,41.205,-7.5315,4.5820518,12.0
2023-03-07 11:00:00+00:00,25.097,-8.7315,2.9024127,0.0
2023-03-07 12:00:00+00:00,22.786,-9.0815,3.563818,0.0
2023-03-07 13:00:00+00:00,22.86,-9.7315,4.198285,0.0
2023-03-07 14:00:00+00:00,23.41,-10.6315,4.6800003,0.0
2023-03-07 15:00:00+00:00,36.58,-11.1315,4.6800003,0.0
2023-03-07 16:00:00+00:00,25.964,-11.5315,4.802999,0.0
2023-03-07 17:00:00+00:00,23.253,-11.9815,4.6938252,0.0
2023-03-07 18:00:00+00:00,18.0,-12.4815,4.6800003,0.0
2023-03-07 19:00:00+00:00,37.5,-12.6815,5.154415,0.0
2023-03-07 20:00:00+00:00,9.0,-12.7815,5.1919937,0.0
2023-03-07 21:00:00+00:00,20.0,-12.6815,5.1165614,0.0
2023-03-07 22:00:00+00:00,7.899999999999999,-12.6315,4.3349743,0.0
2023-03-07 23:00:00+00:00,8.2,-12.7315,3.5455887,12.0
2023-03-08 00:00:00+00:00,8.2,-11.3815,3.0758414,118.0
2023-03-08 01:00:00+00:00,7.4,-9.5315,6.989936,236.0
2023-03-08 02:00:00+00:00,13.3,-8.0815,6.9247384,313.0
2023-03-08 03:00:00+00:00,12.2,-6.2815,9.346143,417.0
2023-03-08 04:00:00+00:00,10.2,-4.1815,12.074766,501.0
2023-03-08 05:00:00+00:00,10.0,-2.3815,15.39184,600.0
2023-03-08 06:00:00+00:00,24.0,-2.2815,20.674158,536.0
2023-03-08 07:00:00+00:00,30.154,-2.3315,22.148045,422.0
2023-03-08 08:00:00+00:00,25.784,-2.8815,22.19773,256.0
2023-03-08 09:00:00+00:00,35.809,-3.7315001,20.478907,113.0
2023-03-08 10:00:00+00:00,30.591,-4.6315002,20.633371,13.0
2023-03-08 11:00:00+00:00,37.099,-5.8315,17.643673,0.0
2023-03-08 12:00:00+00:00,36.102,-6.0315,20.545246,0.0
2023-03-08 13:00:00+00:00,25.095,-6.1815,16.808569,0.0
2023-03-08 14:00:00+00:00,25.507,-6.4315,12.015589,0.0
2023-03-08 15:00:00+00:00,22.468,-6.2815,6.9899354,0.0
2023-03-08 16:00:00+00:00,21.671,-5.9815,5.6233797,0.0
2023-03-08 17:00:00+00:00,21.556,-5.5815,6.638072,0.0
2023-03-08 18:00:00+00:00,28.0,-4.9815,11.901798,0.0
2023-03-08 19:00:00+00:00,27.0,-5.0315,12.682018,0.0
